NAERING,GYLDIG_FOM,GYLDIG_TOM,NAERING_KORT,NAERING_LANG,TYPE,GRLNAERING,KNRNAERING,A64N_NAERING,A64_NAERING,A64NP,PUBAGG,A38NP,A21NP,A64EU_NAERING,A88
25380,1970,9999,Inns.fjern.avfal,"Innsamling, behandling, disponering og fjerning av avfall",B,25379,2538,2539,2337,2X37_39,2X36_39,2X36_39,2X36_39,E37T39,2X38
25841,1970,9999,"Offentlig adm.","Offentlig administrasjon og forvaltning, og trygdeordninger underlagt offentlig forvaltning",B,25841,2584,2584,2384,2X84,2X84,2X84,2X84,O84,2X84
25850,1970,9999,Undervisning,Undervisning,B,25850,2585,2585,2385,2X85,2X85,2X85,2X85,P85,2X85
25860,1970,9999,Helsetjenester,Helsetjenester,B,25860,2586,2586,2386,2X86,2X86_88,2X86,2X86_88,Q86,2X86
25870,1970,9999,Omsorgstjenester,Omsorgstjenester,B,25870,2587,2587,2387,2X87_88,2X86_88,2X87_88,2X86_88,Q87_88,2X87
25882,1970,9999,"Barnehager, SFO","Barnehager og SFO",B,25882,2587,2587,2387,2X87_88,2X86_88,2X87_88,2X86_88,Q87_88,2X88
25910,1970,9999,Bibl.mus.a.kultu,"Drift av biblioteker, arkiver, museer og annen kulturvirksomhet",B,25905,2590,2590,2390,2X90_92,2X90_97,2X90_93,2X90_93,R90T92,2X91
26850,1970,9999,Undervisning,Undervisning,B,26850,2685,2685,2385,2X85,2X85,2X85,2X85,P85,2X85
26860,1970,9999,Helsetjenester,Helsetjenester,B,26860,2686,2686,2386,2X86,2X86_88,2X86,2X86_88,Q86,2X86
26870,1970,9999,Omsorgstjenester,Omsorgstjenester,B,26870,2687,2687,2387,2X87_88,2X86_88,2X87_88,2X86_88,Q87_88,2X87
26900,1970,9999,Kunst.Vir&underh,"Kunstnerisk virksomhet og underholdningsvirksomhet",B,26905,2690,2690,2390,2X90_92,2X90_97,2X90_93,2X90_93,R90T92,2X90
26910,1970,9999,Bibl.mus.a.kultu,"Drift av biblioteker, arkiver, museer og annen kulturvirksomhet",B,26905,2690,2690,2390,2X90_92,2X90_97,2X90_93,2X90_93,R90T92,2X91
26930,1970,9999,Sport/fritidsakt,"Sports- og fritidsaktiviteter",B,26930,2690,2693,2393,2X93,2X90_97,2X90_93,2X90_93,R93,2X93
26940,1970,9999,Akt.medl.org,"Aktiviteter i medlemsorganisasjoner + internasjonale organisasjoner",B,26940,2694,2694,2394,2X94,2X90_97,2X94_96,2X94_96,S94,2X94
27014,1970,9999,Matv.e.kantiner,"Matvarer til egne kantiner, institusjoner, skip o.l",B,27014,,,,,,,,,
27016,1970,9999,Repr.Forr.reiser,Representasjonskostnader,B,27016,,,,,,,,,
27018,1970,9999,"Arb.tøy,verkt.mv","Arbeidstøy, verneutstyr og verktøy til skogbruk, olje og gass, industrien og bygg og anlegg",B,27018,,,,,,,,,
27020,1970,9999,Rekv.rengj.midl.,"Kontorrekvisita,arbeidstøy, uniformer jule- påske pynt, rengjøringsmidler, lyspærer og andre små artikler",B,27020,,,,,,,,,
27026,1970,9999,Bank/off.gebyr++,"Bank og forsikringstjenester, offentlige gebyrer og aviser.",B,27026,,,,,,,,,
27030,1970,9999,Godstr.,"Godstransport, lasting, lagring",B,27030,,,,,,,,,
27031,1970,9999,"Div tj.yting","Post, Telefontjenester og internett og andre forretningsmessige tjenester, (regnskap, it, reklame, rettshjelp, teknisk konsulenttjenester)",B,27031,,,,,,,,,
27033,1970,9999,"hotell+/ turisme","Hoteltjenester og persontransport, turismerelatert",B,27033,,,,,,,,,
27035,1970,9999,"Andre reiseutg.","Persontransport, ikke tursismerelatert",B,27035,,,,,,,,,
27040,1970,9999,Utleie,"Leie av  maskiner, inventar, tranportmidler og lignende",B,27040,,,,,,,,,
27045,1970,9999,Entreprenørlev.,Entreprenørleveranser,B,27045,,,,,,,,,
27050,2009,2011,Fj.kost.oljeinnr,"Fjerningskostnader for olje- og gassinnretninger",B,27050,,,,,,,,,
27076,1970,9999,Emballasje,Emballasje,B,27076,,,,,,,,,
27150,1970,9999,"Rep.maskin mv.","Reparasjon av maskiner,inventar, utstyr mv.",B,27150,,,,,,,,,
